# session	source_tag	category	db25_parse	db25_analyze	sql
select1	ok	dml	accept	clean	INSERT INTO t1(c,e,a,b,d) VALUES(208,209,205,206,207)
select1	ok	dml	accept	clean	INSERT INTO t1(c,e,a,d,b) VALUES(214,210,213,212,211)
select1	ok	dml	accept	clean	INSERT INTO t1(b,c,a,d,e) VALUES(218,215,216,217,219)
select1	ok	dml	accept	clean	INSERT INTO t1(b,e,d,a,c) VALUES(223,221,222,220,224)
select1	ok	dml	accept	clean	INSERT INTO t1(d,e,b,a,c) VALUES(226,227,228,229,225)
select1	ok	dml	accept	clean	INSERT INTO t1(a,c,b,e,d) VALUES(234,231,232,230,233)
select1	ok	dml	accept	clean	INSERT INTO t1(e,b,a,c,d) VALUES(237,236,239,235,238)
select1	ok	dml	accept	clean	INSERT INTO t1(e,c,b,a,d) VALUES(242,244,240,243,241)
select1	ok	dml	accept	clean	INSERT INTO t1(e,d,c,b,a) VALUES(246,248,247,249,245)
select1	ok	query	accept	clean	SELECT CASE WHEN c>(SELECT avg(c) FROM t1) THEN a*2 ELSE b*10 END FROM t1 ORDER BY 1
select1	ok	query	accept	clean	SELECT a+b*2+c*3+d*4+e*5, (a+b+c+d+e)/5 FROM t1 ORDER BY 1,2
select1	ok	query	accept	clean	SELECT a+b*2+c*3+d*4+e*5, CASE WHEN a<b-3 THEN 111 WHEN a<=b THEN 222 WHEN a<b+3 THEN 333 ELSE 444 END, abs(b-c), (a+b+c+d+e)/5, a+b*2+c*3 FROM t1 WHERE (e>c OR e<d) AND d>e AND EXISTS(SELECT 1 FROM t1 AS x WHERE x.b<t1.b) ORDER BY 4,2,1,3,5
select1	ok	query	accept	clean	SELECT c, d-e, CASE a+1 WHEN b THEN 111 WHEN c THEN 222 WHEN d THEN 333  WHEN e THEN 444 ELSE 555 END, a+b*2+c*3+d*4, e FROM t1 WHERE d NOT BETWEEN 110 AND 150 OR c BETWEEN b-2 AND d+2 OR (e>c OR e<d) ORDER BY 1,5,3,2,4
select1	ok	query	accept	clean	SELECT a+b*2+c*3+d*4, (a+b+c+d+e)/5, abs(a), e, CASE a+1 WHEN b THEN 111 WHEN c THEN 222 WHEN d THEN 333  WHEN e THEN 444 ELSE 555 END, d FROM t1 WHERE b>c AND c>d ORDER BY 3,4,5,1,2,6
select1	ok	query	accept	clean	SELECT a+b*2+c*3+d*4, CASE a+1 WHEN b THEN 111 WHEN c THEN 222 WHEN d THEN 333  WHEN e THEN 444 ELSE 555 END, (SELECT count(*) FROM t1 AS x WHERE x.c>t1.c AND x.d<t1.d), c FROM t1 WHERE (c<=d-2 OR c>=d+2) ORDER BY 4,2,1,3
select1	ok	query	accept	clean	SELECT CASE a+1 WHEN b THEN 111 WHEN c THEN 222 WHEN d THEN 333  WHEN e THEN 444 ELSE 555 END FROM t1 ORDER BY 1
select1	ok	query	accept	clean	SELECT (SELECT count(*) FROM t1 AS x WHERE x.b<t1.b) FROM t1 WHERE (a>b-2 AND a<b+2) OR c>d ORDER BY 1
select1	ok	query	accept	clean	SELECT a, (SELECT count(*) FROM t1 AS x WHERE x.c>t1.c AND x.d<t1.d), b-c, a-b, CASE a+1 WHEN b THEN 111 WHEN c THEN 222 WHEN d THEN 333  WHEN e THEN 444 ELSE 555 END FROM t1 WHERE c BETWEEN b-2 AND d+2 OR a>b OR b>c ORDER BY 1,4,3,2,5
select1	ok	query	accept	clean	SELECT CASE a+1 WHEN b THEN 111 WHEN c THEN 222 WHEN d THEN 333  WHEN e THEN 444 ELSE 555 END, CASE WHEN a<b-3 THEN 111 WHEN a<=b THEN 222 WHEN a<b+3 THEN 333 ELSE 444 END, a+b*2+c*3+d*4, a+b*2+c*3, c, CASE WHEN c>(SELECT avg(c) FROM t1) THEN a*2 ELSE b*10 END, abs(b-c) FROM t1 WHERE EXISTS(SELECT 1 FROM t1 AS x WHERE x.b<t1.b) OR b>c OR d NOT BETWEEN 110 AND 150 ORDER BY 4,1,5,2,6,3,7
select1	ok	query	accept	clean	SELECT CASE WHEN c>(SELECT avg(c) FROM t1) THEN a*2 ELSE b*10 END, CASE WHEN a<b-3 THEN 111 WHEN a<=b THEN 222 WHEN a<b+3 THEN 333 ELSE 444 END, a+b*2+c*3, (SELECT count(*) FROM t1 AS x WHERE x.c>t1.c AND x.d<t1.d), c, b-c FROM t1 WHERE EXISTS(SELECT 1 FROM t1 AS x WHERE x.b<t1.b) OR a>b OR d NOT BETWEEN 110 AND 150 ORDER BY 5,3,6,1,2,4
select1	ok	query	accept	clean	SELECT (SELECT count(*) FROM t1 AS x WHERE x.c>t1.c AND x.d<t1.d), d, a+b*2+c*3+d*4, a-b, (SELECT count(*) FROM t1 AS x WHERE x.b<t1.b) FROM t1 WHERE c BETWEEN b-2 AND d+2 OR c>d ORDER BY 3,5,4,1,2
select1	ok	query	accept	clean	SELECT CASE WHEN c>(SELECT avg(c) FROM t1) THEN a*2 ELSE b*10 END, a-b, abs(b-c), c, CASE WHEN a<b-3 THEN 111 WHEN a<=b THEN 222 WHEN a<b+3 THEN 333 ELSE 444 END, a+b*2+c*3+d*4 FROM t1 ORDER BY 4,3,6,2,5,1
select1	ok	query	accept	clean	SELECT a+b*2, a, a+b*2+c*3+d*4+e*5, (a+b+c+d+e)/5, e, c-d, CASE WHEN a<b-3 THEN 111 WHEN a<=b THEN 222 WHEN a<b+3 THEN 333 ELSE 444 END FROM t1 WHERE a>b ORDER BY 5,4,6,2,1,7,3
select1	ok	query	accept	clean	SELECT a, b FROM t1 ORDER BY 1,2
select1	ok	query	accept	clean	SELECT c, a-b, (SELECT count(*) FROM t1 AS x WHERE x.b<t1.b) FROM t1 WHERE c BETWEEN b-2 AND d+2 ORDER BY 1,2,3
select1	ok	query	accept	clean	SELECT CASE WHEN c>(SELECT avg(c) FROM t1) THEN a*2 ELSE b*10 END, a+b*2+c*3+d*4+e*5, abs(b-c), b-c, CASE a+1 WHEN b THEN 111 WHEN c THEN 222 WHEN d THEN 333  WHEN e THEN 444 ELSE 555 END, a-b FROM t1 WHERE b>c AND a>b AND d NOT BETWEEN 110 AND 150 ORDER BY 2,1,6,4,3,5
select1	ok	query	accept	clean	SELECT a+b*2+c*3+d*4+e*5, abs(a), b-c, c-d, CASE a+1 WHEN b THEN 111 WHEN c THEN 222 WHEN d THEN 333  WHEN e THEN 444 ELSE 555 END, a FROM t1 WHERE c BETWEEN b-2 AND d+2 OR e+d BETWEEN a+b-10 AND c+130 ORDER BY 1,5,4,2,6,3
select1	ok	query	accept	clean	SELECT CASE WHEN a<b-3 THEN 111 WHEN a<=b THEN 222 WHEN a<b+3 THEN 333 ELSE 444 END, c, (SELECT count(*) FROM t1 AS x WHERE x.b<t1.b), b-c, b, CASE a+1 WHEN b THEN 111 WHEN c THEN 222 WHEN d THEN 333  WHEN e THEN 444 ELSE 555 END, a+b*2 FROM t1 ORDER BY 4,3,5,1,6,2,7
select1	ok	query	accept	clean	SELECT a, a+b*2+c*3+d*4+e*5, c-d, CASE WHEN c>(SELECT avg(c) FROM t1) THEN a*2 ELSE b*10 END, b-c, a+b*2 FROM t1 ORDER BY 6,2,4,5,3,1
select1	ok	query	accept	clean	SELECT d-e, abs(a), b, c-d, a+b*2+c*3, abs(b-c), CASE WHEN a<b-3 THEN 111 WHEN a<=b THEN 222 WHEN a<b+3 THEN 333 ELSE 444 END FROM t1 WHERE (e>c OR e<d) AND d>e AND c>d ORDER BY 1,3,7,5,2,6,4
select1	ok	query	accept	clean	SELECT CASE WHEN a<b-3 THEN 111 WHEN a<=b THEN 222 WHEN a<b+3 THEN 333 ELSE 444 END, a+b*2+c*3, a+b*2+c*3+d*4+e*5, (a+b+c+d+e)/5, a+b*2+c*3+d*4, b-c, c FROM t1 WHERE d NOT BETWEEN 110 AND 150 ORDER BY 2,5,1,7,3,6,4
select1	ok	query	accept	clean	SELECT e, (SELECT count(*) FROM t1 AS x WHERE x.b<t1.b), a-b, CASE a+1 WHEN b THEN 111 WHEN c THEN 222 WHEN d THEN 333  WHEN e THEN 444 ELSE 555 END, c-d, c FROM t1 WHERE d NOT BETWEEN 110 AND 150 ORDER BY 1,4,5,6,2,3
select1	ok	query	accept	clean	SELECT CASE WHEN c>(SELECT avg(c) FROM t1) THEN a*2 ELSE b*10 END FROM t1 WHERE e+d BETWEEN a+b-10 AND c+130 AND c>d ORDER BY 1
select1	ok	query	accept	clean	SELECT a+b*2+c*3, abs(b-c), CASE a+1 WHEN b THEN 111 WHEN c THEN 222 WHEN d THEN 333  WHEN e THEN 444 ELSE 555 END, a, a+b*2+c*3+d*4, a+b*2, (SELECT count(*) FROM t1 AS x WHERE x.b<t1.b) FROM t1 WHERE (a>b-2 AND a<b+2) AND c BETWEEN b-2 AND d+2 ORDER BY 6,1,7,3,4,5,2
select1	ok	query	accept	clean	SELECT a+b*2, a+b*2+c*3, CASE WHEN c>(SELECT avg(c) FROM t1) THEN a*2 ELSE b*10 END, c, CASE WHEN a<b-3 THEN 111 WHEN a<=b THEN 222 WHEN a<b+3 THEN 333 ELSE 444 END FROM t1 WHERE d>e AND (c<=d-2 OR c>=d+2) AND b>c ORDER BY 2,3,1,5,4
select1	ok	query	accept	clean	SELECT a+b*2+c*3+d*4+e*5, CASE WHEN a<b-3 THEN 111 WHEN a<=b THEN 222 WHEN a<b+3 THEN 333 ELSE 444 END, a, abs(b-c), a+b*2, d, CASE WHEN c>(SELECT avg(c) FROM t1) THEN a*2 ELSE b*10 END FROM t1 WHERE (e>c OR e<d) OR a>b ORDER BY 4,5,3,7,1,6,2
select1	ok	query	accept	clean	SELECT (SELECT count(*) FROM t1 AS x WHERE x.b<t1.b), (SELECT count(*) FROM t1 AS x WHERE x.c>t1.c AND x.d<t1.d), CASE WHEN a<b-3 THEN 111 WHEN a<=b THEN 222 WHEN a<b+3 THEN 333 ELSE 444 END, c-d, a-b FROM t1 WHERE (e>c OR e<d) ORDER BY 3,5,4,1,2
select1	ok	query	accept	clean	SELECT (SELECT count(*) FROM t1 AS x WHERE x.b<t1.b) FROM t1 WHERE e+d BETWEEN a+b-10 AND c+130 AND a>b AND (a>b-2 AND a<b+2) ORDER BY 1
select1	ok	query	accept	clean	SELECT CASE a+1 WHEN b THEN 111 WHEN c THEN 222 WHEN d THEN 333  WHEN e THEN 444 ELSE 555 END, b, a+b*2, (SELECT count(*) FROM t1 AS x WHERE x.b<t1.b), CASE WHEN a<b-3 THEN 111 WHEN a<=b THEN 222 WHEN a<b+3 THEN 333 ELSE 444 END FROM t1 WHERE a>b OR c BETWEEN b-2 AND d+2 OR c>d ORDER BY 3,2,1,4,5
select1	ok	query	accept	clean	SELECT d, a+b*2+c*3+d*4+e*5, a+b*2+c*3, c-d, (a+b+c+d+e)/5, a-b FROM t1 ORDER BY 3,4,2,6,5,1
select1	ok	query	accept	clean	SELECT CASE a+1 WHEN b THEN 111 WHEN c THEN 222 WHEN d THEN 333  WHEN e THEN 444 ELSE 555 END, a+b*2+c*3+d*4+e*5, (a+b+c+d+e)/5, abs(b-c), abs(a), (SELECT count(*) FROM t1 AS x WHERE x.c>t1.c AND x.d<t1.d), a+b*2+c*3 FROM t1 WHERE c BETWEEN b-2 AND d+2 ORDER BY 7,2,5,1,3,6,4
select1	ok	query	accept	clean	SELECT d, CASE WHEN c>(SELECT avg(c) FROM t1) THEN a*2 ELSE b*10 END, b, c, e FROM t1 WHERE b>c ORDER BY 1,2,4,3,5
select1	ok	query	accept	clean	SELECT a-b, a, a+b*2+c*3, b, d, d-e FROM t1 WHERE (e>a AND e<b) ORDER BY 2,6,4,1,5,3
select1	ok	query	accept	clean	SELECT (a+b+c+d+e)/5, a+b*2, c-d, a, e, (SELECT count(*) FROM t1 AS x WHERE x.b<t1.b) FROM t1 WHERE b>c ORDER BY 2,6,5,4,3,1
select1	ok	query	accept	clean	SELECT b, (a+b+c+d+e)/5, CASE a+1 WHEN b THEN 111 WHEN c THEN 222 WHEN d THEN 333  WHEN e THEN 444 ELSE 555 END, abs(b-c), b-c FROM t1 WHERE a>b ORDER BY 2,5,3,4,1
select1	ok	query	accept	clean	SELECT abs(b-c), a, a+b*2, CASE WHEN a<b-3 THEN 111 WHEN a<=b THEN 222 WHEN a<b+3 THEN 333 ELSE 444 END FROM t1 ORDER BY 1,4,3,2
select1	ok	query	accept	clean	SELECT CASE WHEN a<b-3 THEN 111 WHEN a<=b THEN 222 WHEN a<b+3 THEN 333 ELSE 444 END, c, d-e FROM t1 WHERE (a>b-2 AND a<b+2) AND c>d ORDER BY 2,1,3
select1	ok	query	accept	clean	SELECT a, e, CASE WHEN c>(SELECT avg(c) FROM t1) THEN a*2 ELSE b*10 END, a-b FROM t1 ORDER BY 2,4,3,1
select1	ok	query	accept	clean	SELECT (a+b+c+d+e)/5, e, (SELECT count(*) FROM t1 AS x WHERE x.c>t1.c AND x.d<t1.d) FROM t1 WHERE (e>c OR e<d) OR EXISTS(SELECT 1 FROM t1 AS x WHERE x.b<t1.b) ORDER BY 3,1,2
select1	ok	query	accept	clean	SELECT a-b, a+b*2, (SELECT count(*) FROM t1 AS x WHERE x.c>t1.c AND x.d<t1.d), d-e FROM t1 WHERE d>e OR (e>a AND e<b) ORDER BY 4,1,3,2
select1	ok	query	accept	clean	SELECT a+b*2 FROM t1 WHERE e+d BETWEEN a+b-10 AND c+130 OR a>b ORDER BY 1
select1	ok	query	accept	clean	SELECT CASE a+1 WHEN b THEN 111 WHEN c THEN 222 WHEN d THEN 333  WHEN e THEN 444 ELSE 555 END, (SELECT count(*) FROM t1 AS x WHERE x.c>t1.c AND x.d<t1.d), d-e, b, (SELECT count(*) FROM t1 AS x WHERE x.b<t1.b), a+b*2 FROM t1 WHERE EXISTS(SELECT 1 FROM t1 AS x WHERE x.b<t1.b) OR (a>b-2 AND a<b+2) ORDER BY 2,6,3,5,4,1
select1	ok	query	accept	clean	SELECT a, c-d, d FROM t1 WHERE c>d AND a>b AND (a>b-2 AND a<b+2) ORDER BY 1,2,3
select1	ok	query	accept	clean	SELECT a+b*2+c*3, a+b*2+c*3+d*4+e*5, c, (a+b+c+d+e)/5, b FROM t1 ORDER BY 5,4,1,3,2
select1	ok	query	accept	clean	SELECT CASE WHEN a<b-3 THEN 111 WHEN a<=b THEN 222 WHEN a<b+3 THEN 333 ELSE 444 END, c-d, abs(a), abs(b-c), (SELECT count(*) FROM t1 AS x WHERE x.c>t1.c AND x.d<t1.d) FROM t1 WHERE EXISTS(SELECT 1 FROM t1 AS x WHERE x.b<t1.b) ORDER BY 1,5,3,2,4
select1	ok	query	accept	clean	SELECT c, CASE WHEN a<b-3 THEN 111 WHEN a<=b THEN 222 WHEN a<b+3 THEN 333 ELSE 444 END, abs(a), (a+b+c+d+e)/5, a+b*2, d-e FROM t1 WHERE b>c AND (a>b-2 AND a<b+2) AND d NOT BETWEEN 110 AND 150 ORDER BY 4,5,3,1,2,6
select1	ok	query	accept	clean	SELECT CASE a+1 WHEN b THEN 111 WHEN c THEN 222 WHEN d THEN 333  WHEN e THEN 444 ELSE 555 END, CASE WHEN c>(SELECT avg(c) FROM t1) THEN a*2 ELSE b*10 END, a+b*2+c*3+d*4+e*5, d FROM t1 WHERE d>e OR (a>b-2 AND a<b+2) ORDER BY 3,2,4,1
select1	ok	query	accept	clean	SELECT d-e, (SELECT count(*) FROM t1 AS x WHERE x.b<t1.b), abs(a), a+b*2+c*3+d*4 FROM t1 WHERE EXISTS(SELECT 1 FROM t1 AS x WHERE x.b<t1.b) OR c>d ORDER BY 2,3,4,1
select1	ok	query	accept	clean	SELECT a+b*2+c*3 FROM t1 ORDER BY 1
select1	ok	query	accept	clean	SELECT CASE WHEN a<b-3 THEN 111 WHEN a<=b THEN 222 WHEN a<b+3 THEN 333 ELSE 444 END, a+b*2+c*3+d*4+e*5, (SELECT count(*) FROM t1 AS x WHERE x.b<t1.b), a+b*2+c*3+d*4, a+b*2 FROM t1 WHERE d>e ORDER BY 3,4,1,2,5
select1	ok	query	accept	clean	SELECT (SELECT count(*) FROM t1 AS x WHERE x.c>t1.c AND x.d<t1.d), a-b FROM t1 WHERE b>c ORDER BY 1,2
select1	ok	query	accept	clean	SELECT a+b*2+c*3+d*4+e*5, a, CASE a+1 WHEN b THEN 111 WHEN c THEN 222 WHEN d THEN 333  WHEN e THEN 444 ELSE 555 END, a+b*2+c*3+d*4, b-c FROM t1 WHERE d>e ORDER BY 4,1,5,3,2
select1	ok	query	accept	clean	SELECT a-b, a+b*2+c*3+d*4, (SELECT count(*) FROM t1 AS x WHERE x.c>t1.c AND x.d<t1.d) FROM t1 WHERE (e>c OR e<d) ORDER BY 1,2,3
select1	ok	query	accept	clean	SELECT d, a+b*2, a, b, b-c, CASE a+1 WHEN b THEN 111 WHEN c THEN 222 WHEN d THEN 333  WHEN e THEN 444 ELSE 555 END, (a+b+c+d+e)/5 FROM t1 ORDER BY 5,2,7,1,4,6,3
select1	ok	query	accept	clean	SELECT e FROM t1 WHERE b>c AND d>e ORDER BY 1
select1	ok	query	accept	clean	SELECT b, e FROM t1 WHERE (c<=d-2 OR c>=d+2) ORDER BY 2,1
select1	ok	query	accept	clean	SELECT b-c, d-e, c-d, a+b*2+c*3 FROM t1 ORDER BY 1,2,4,3
select1	ok	query	accept	clean	SELECT abs(b-c), CASE WHEN a<b-3 THEN 111 WHEN a<=b THEN 222 WHEN a<b+3 THEN 333 ELSE 444 END FROM t1 WHERE (e>c OR e<d) OR b>c OR (a>b-2 AND a<b+2) ORDER BY 2,1
select1	ok	query	accept	clean	SELECT e, d-e, CASE WHEN c>(SELECT avg(c) FROM t1) THEN a*2 ELSE b*10 END, (SELECT count(*) FROM t1 AS x WHERE x.b<t1.b) FROM t1 WHERE d NOT BETWEEN 110 AND 150 ORDER BY 1,3,4,2
select1	ok	query	accept	clean	SELECT abs(a), a+b*2+c*3+d*4+e*5, c-d FROM t1 ORDER BY 3,2,1
select1	ok	query	accept	clean	SELECT abs(a), c, CASE a+1 WHEN b THEN 111 WHEN c THEN 222 WHEN d THEN 333  WHEN e THEN 444 ELSE 555 END, a+b*2, d-e FROM t1 WHERE c BETWEEN b-2 AND d+2 AND d>e AND d NOT BETWEEN 110 AND 150 ORDER BY 5,3,1,4,2
select1	ok	query	accept	clean	SELECT (a+b+c+d+e)/5, (SELECT count(*) FROM t1 AS x WHERE x.b<t1.b), CASE WHEN c>(SELECT avg(c) FROM t1) THEN a*2 ELSE b*10 END, c-d, a+b*2+c*3+d*4, a+b*2+c*3+d*4+e*5 FROM t1 WHERE (e>a AND e<b) AND c>d ORDER BY 2,5,6,4,1,3
select1	ok	query	accept	clean	SELECT (SELECT count(*) FROM t1 AS x WHERE x.c>t1.c AND x.d<t1.d), d, b-c, (a+b+c+d+e)/5, CASE WHEN a<b-3 THEN 111 WHEN a<=b THEN 222 WHEN a<b+3 THEN 333 ELSE 444 END, CASE a+1 WHEN b THEN 111 WHEN c THEN 222 WHEN d THEN 333  WHEN e THEN 444 ELSE 555 END, a-b FROM t1 WHERE c BETWEEN b-2 AND d+2 OR (e>c OR e<d) OR EXISTS(SELECT 1 FROM t1 AS x WHERE x.b<t1.b) ORDER BY 7,2,4,1,5,6,3
select1	ok	query	accept	clean	SELECT a+b*2, d, a, b-c, CASE a+1 WHEN b THEN 111 WHEN c THEN 222 WHEN d THEN 333  WHEN e THEN 444 ELSE 555 END FROM t1 WHERE EXISTS(SELECT 1 FROM t1 AS x WHERE x.b<t1.b) AND d NOT BETWEEN 110 AND 150 AND e+d BETWEEN a+b-10 AND c+130 ORDER BY 1,2,4,5,3
select1	ok	query	accept	clean	SELECT c-d, (SELECT count(*) FROM t1 AS x WHERE x.b<t1.b), c, a+b*2+c*3+d*4+e*5 FROM t1 WHERE (e>a AND e<b) ORDER BY 3,2,4,1
select1	ok	query	accept	clean	SELECT e FROM t1 WHERE (c<=d-2 OR c>=d+2) AND (a>b-2 AND a<b+2) ORDER BY 1
select1	ok	query	accept	clean	SELECT abs(b-c), a+b*2+c*3+d*4+e*5, d-e, (SELECT count(*) FROM t1 AS x WHERE x.b<t1.b), c-d FROM t1 WHERE (a>b-2 AND a<b+2) OR EXISTS(SELECT 1 FROM t1 AS x WHERE x.b<t1.b) ORDER BY 3,4,5,1,2
select1	ok	query	accept	clean	SELECT CASE WHEN a<b-3 THEN 111 WHEN a<=b THEN 222 WHEN a<b+3 THEN 333 ELSE 444 END, a+b*2+c*3+d*4+e*5 FROM t1 WHERE c BETWEEN b-2 AND d+2 AND d>e ORDER BY 1,2
select1	ok	query	accept	clean	SELECT b-c FROM t1 ORDER BY 1
select1	ok	query	accept	clean	SELECT (SELECT count(*) FROM t1 AS x WHERE x.c>t1.c AND x.d<t1.d), abs(b-c), a+b*2+c*3+d*4, (a+b+c+d+e)/5, d-e, a+b*2+c*3+d*4+e*5 FROM t1 WHERE EXISTS(SELECT 1 FROM t1 AS x WHERE x.b<t1.b) ORDER BY 1,6,2,4,5,3
select1	ok	query	accept	clean	SELECT d, c, b, a+b*2+c*3+d*4, b-c, CASE WHEN a<b-3 THEN 111 WHEN a<=b THEN 222 WHEN a<b+3 THEN 333 ELSE 444 END FROM t1 WHERE EXISTS(SELECT 1 FROM t1 AS x WHERE x.b<t1.b) OR c>d OR (a>b-2 AND a<b+2) ORDER BY 3,5,6,2,4,1
select1	ok	query	accept	clean	SELECT b-c, (a+b+c+d+e)/5, c-d, b, CASE WHEN a<b-3 THEN 111 WHEN a<=b THEN 222 WHEN a<b+3 THEN 333 ELSE 444 END, a+b*2+c*3+d*4+e*5 FROM t1 WHERE d>e AND d NOT BETWEEN 110 AND 150 AND (e>a AND e<b) ORDER BY 1,3,2,5,4,6
select1	ok	query	accept	clean	SELECT abs(a), a+b*2+c*3+d*4+e*5, a, (a+b+c+d+e)/5 FROM t1 ORDER BY 4,3,2,1
select1	ok	query	accept	clean	SELECT b, c, a-b, d-e, a+b*2+c*3+d*4 FROM t1 WHERE d>e OR c BETWEEN b-2 AND d+2 ORDER BY 2,1,4,3,5
select1	ok	query	accept	clean	SELECT a-b, CASE WHEN a<b-3 THEN 111 WHEN a<=b THEN 222 WHEN a<b+3 THEN 333 ELSE 444 END FROM t1 WHERE c BETWEEN b-2 AND d+2 AND b>c AND (a>b-2 AND a<b+2) ORDER BY 1,2
select1	ok	query	accept	clean	SELECT b, abs(a), a, c FROM t1 WHERE c BETWEEN b-2 AND d+2 OR (e>c OR e<d) OR b>c ORDER BY 4,3,2,1
select1	ok	query	accept	clean	SELECT a+b*2+c*3+d*4, (SELECT count(*) FROM t1 AS x WHERE x.b<t1.b), c-d, a+b*2 FROM t1 WHERE EXISTS(SELECT 1 FROM t1 AS x WHERE x.b<t1.b) AND b>c ORDER BY 2,4,3,1
select1	ok	query	accept	clean	SELECT b, abs(b-c) FROM t1 WHERE c>d AND a>b AND EXISTS(SELECT 1 FROM t1 AS x WHERE x.b<t1.b) ORDER BY 2,1
select1	ok	query	accept	clean	SELECT CASE WHEN a<b-3 THEN 111 WHEN a<=b THEN 222 WHEN a<b+3 THEN 333 ELSE 444 END, d-e, b, (SELECT count(*) FROM t1 AS x WHERE x.c>t1.c AND x.d<t1.d), a-b, a, e FROM t1 ORDER BY 4,5,1,3,7,6,2
select1	ok	query	accept	clean	SELECT d, CASE WHEN c>(SELECT avg(c) FROM t1) THEN a*2 ELSE b*10 END, abs(b-c), a+b*2+c*3+d*4+e*5, CASE WHEN a<b-3 THEN 111 WHEN a<=b THEN 222 WHEN a<b+3 THEN 333 ELSE 444 END, d-e FROM t1 ORDER BY 1,6,2,3,5,4
select1	ok	query	accept	clean	SELECT CASE WHEN a<b-3 THEN 111 WHEN a<=b THEN 222 WHEN a<b+3 THEN 333 ELSE 444 END, a+b*2, (SELECT count(*) FROM t1 AS x WHERE x.c>t1.c AND x.d<t1.d) FROM t1 WHERE (e>c OR e<d) ORDER BY 2,1,3
select1	ok	query	accept	clean	SELECT a+b*2+c*3+d*4, abs(b-c), c-d FROM t1 WHERE (e>c OR e<d) ORDER BY 2,3,1
select1	ok	query	accept	clean	SELECT a-b, abs(a), d FROM t1 WHERE EXISTS(SELECT 1 FROM t1 AS x WHERE x.b<t1.b) OR d>e OR c BETWEEN b-2 AND d+2 ORDER BY 3,2,1
select1	ok	query	accept	clean	SELECT (SELECT count(*) FROM t1 AS x WHERE x.c>t1.c AND x.d<t1.d), a+b*2+c*3+d*4+e*5 FROM t1 WHERE (e>a AND e<b) OR (c<=d-2 OR c>=d+2) OR e+d BETWEEN a+b-10 AND c+130 ORDER BY 2,1
select1	ok	query	accept	clean	SELECT (a+b+c+d+e)/5, abs(a), d FROM t1 WHERE e+d BETWEEN a+b-10 AND c+130 AND (e>c OR e<d) AND EXISTS(SELECT 1 FROM t1 AS x WHERE x.b<t1.b) ORDER BY 2,1,3
select1	ok	query	accept	clean	SELECT a+b*2, a+b*2+c*3+d*4+e*5, a-b, abs(b-c), c, b, e FROM t1 WHERE d>e ORDER BY 4,5,3,6,2,1,7
select1	ok	query	accept	clean	SELECT a, d, a+b*2+c*3+d*4+e*5, a-b, (SELECT count(*) FROM t1 AS x WHERE x.c>t1.c AND x.d<t1.d) FROM t1 WHERE c BETWEEN b-2 AND d+2 OR (a>b-2 AND a<b+2) OR b>c ORDER BY 1,3,5,4,2
